id,nombre,descripcion,ultima_actualizacion,api_url
ha9e-e48s,Graduados 2-2019,Información de los estudiantes graduados de la UPTC y que se presentaron durante el segundo semestre de 2019,2025-12-19T22:51:44.000Z,https://www.datos.gov.co/resource/ha9e-e48s.json
cqau-54ni,Parques - Zonas verdes,,2022-12-15T21:26:27.504Z,https://www.datos.gov.co/resource/cqau-54ni.json
7tuu-upb2,Caracterización de las comisarias de familia en el territorio nacional,Información de contacto de las comisarias de familia a nivel nacional,2025-06-06T19:13:27.000Z,https://www.datos.gov.co/resource/7tuu-upb2.json
dsby-ry9m,VISTA PRIMERAS CAUSAS DE MORBILIDAD EN HOSPITALIZACIÓN JULIO,"INCLUYE PRIMERAS CAUSAS DE MORBILIDAD   POR CONSULTA POR URGENCIAS DE COLOMBIANOS,PRIMERAS CAUSAS  DE MORBILIDAD DE ATENCIÓN EN URGENCIAS,CAUSAS DE MORBILIDAD  POR URGENCIAS DE CIUDADANOS  VENEZOLANOS,PRIMERAS CAUSAS  DE MORBILIDAD DE ATENCIÓN EN HOSPITALIZACIÓN,PRIMERAS CAUSA DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA PRIMERA INFANCIA,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA INFANCIA,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA ADOLESCENCIA,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA JUVENTUD,PRIMERAS CAUSAS DE MORBILIDAD POR CONSULTA EXTERNA  POR CICLO DE VIDA ADULTEZ,PRIMERAS CAUSAS DE MORBILIDAD  CONSULTA EXTERNA  POR CICLO DE VIDA  VEJEZ",2025-12-22T13:05:50.000Z,https://www.datos.gov.co/resource/dsby-ry9m.json
7kny-gcrv,Filtro de los usos del sector ambiente,"En este conjunto se puede encontrar el listado de productos, proyectos, aplicaciones, visualizaciones, investigaciones realizadas a partir de datos abiertos del portal disponibles en el Menú ""Usos"" del portal nacional de datos abiertos de Colombia",2025-12-19T23:14:32.000Z,https://www.datos.gov.co/resource/7kny-gcrv.json
6h55-3mwa,CORREDORES DE SEGURO Y REASEGURO 2023,Información financiera con fines de supervisión – CUIF por moneda Entidades vigiladas sin cierres en cuentas de ingresos y gastos (cuentas 4 y 5),2026-03-24T22:45:05.000Z,https://www.datos.gov.co/resource/6h55-3mwa.json
m9ht-7nwb,Catastro de Arboles del Municipio de San Cayetano,Activo de información destinado a resaltar las especies de flora (arboles) NATIVOS que se encuentran en El municipio de San Cayetano.,2025-02-25T13:32:01.000Z,https://www.datos.gov.co/resource/m9ht-7nwb.json
jbkd-qej3,ACTIVIDADES REALIZADAS PARA LA SALUD AUDITIVA,Actividades realizadas para la promoción de la salud auditiva en la ciudad de Pereira.,2025-12-19T23:19:33.000Z,https://www.datos.gov.co/resource/jbkd-qej3.json
mwxn-8bn4,Contratación municipio Argelia Cauca,Información integrada de los procesos de compra pública que se han registrado en la plataformas SECOP I que han finalizado con un contrato.,2026-04-05T17:02:15.000Z,https://www.datos.gov.co/resource/mwxn-8bn4.json
hwcp-kxqq,Registro de activos de información UBPD - Abril de 2022,Registro de activos de información de la UBPD,2025-12-19T22:57:15.000Z,https://www.datos.gov.co/resource/hwcp-kxqq.json
